Name,Session ID,Session begin date (UTC),Time (hh:mm:ss),Position,Jumps,Total Workload,High Intensity Effort/Min,Jump Load / min (J),Jumps (very low),Jumps (low),Jumps (medium),Jumps (high),Jumps (very high),Jumps / min,Acceleration Load (load | medium),Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),Jump Load (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Duration (hh:mm:ss)
Roberta Rabelo,140,03/01/2023,02:09:15,Outside Hitter,132,669.78,5.18,351.76,9,11,12,52,48,1.02,171.43,49.19,441.85,7.31,5.93,00:02:41,01:54:50,00:11:20,00:00:21,0.86,00:02:02,45471.06,1299.17,10.05,65,0.5,112,17,5,90,0,0.87,0.13,0.04,0.7,0.0,0.4,0.09,0.09,0.37,0.07,02:09:38
Shannon Shields,140,03/01/2023,02:09:15,Setter,248,709.87,5.49,446.6,14,142,63,29,0,1.92,149.13,17.24,543.4,0.1,5.17,00:01:09,01:56:34,00:11:29,00:00:00,0.92,00:00:29,57730.71,1587.59,12.28,5,0.04,32,1,5,26,0,0.25,0.01,0.04,0.2,0.0,0.22,1.1,0.49,0.0,0.11,02:09:38
Claire Jeter,141,03/03/2023,02:15:34,Middle Blocker,228,512.45,3.78,611.43,3,33,136,56,0,1.68,84.61,52.26,375.38,0.2,5.3,00:03:20,02:06:37,00:05:33,00:00:01,0.63,00:01:43,82899.66,1788.03,13.19,2,0.01,94,1,19,74,0,0.69,0.01,0.14,0.55,0.0,0.41,0.24,1.0,0.0,0.02,02:16:03
Geli Cyr,141,03/03/2023,02:15:34,Outside Hitter,172,701.04,5.17,393.09,3,17,56,64,32,1.27,128.28,37.55,531.54,3.67,5.7,00:02:24,02:03:48,00:09:07,00:00:12,0.86,00:01:42,53295.91,1584.47,11.69,8,0.06,114,17,8,89,0,0.84,0.13,0.06,0.66,0.0,0.47,0.13,0.41,0.24,0.02,02:16:03
Jaden Ravnsborg,141,03/03/2023,02:15:34,Libero,87,649.67,4.79,118.12,9,39,39,0,0,0.64,100.22,7.28,542.18,0.0,4.7,00:00:36,02:07:05,00:07:51,00:00:00,0.8,00:00:18,16015.06,525.87,3.88,0,0.0,13,0,0,13,0,0.1,0.0,0.0,0.1,0.0,0.0,0.29,0.29,0.0,0.07,02:16:03
Maddie Mclaughlin,141,03/03/2023,02:15:34,Outside Hitter,181,780.83,5.76,420.7,5,13,65,83,15,1.33,185.94,41.36,552.25,1.28,5.43,00:02:35,01:59:33,00:13:18,00:00:04,0.96,00:01:29,57039.82,1588.45,11.72,8,0.06,83,6,12,65,0,0.61,0.04,0.09,0.48,0.0,0.61,0.1,0.48,0.11,0.04,02:16:03
Marta Levinska,141,03/03/2023,02:15:34,Outside Hitter,190,675.86,4.98,410.22,30,9,62,69,20,1.4,134.26,39.86,497.58,4.16,6.25,00:02:36,02:03:05,00:09:34,00:00:16,0.83,00:01:46,55619.62,1529.54,11.28,11,0.08,109,19,12,78,0,0.8,0.14,0.09,0.58,0.0,0.51,0.07,0.46,0.15,0.22,02:16:03
Meadow Cooper,141,03/03/2023,02:15:34,Libero,74,662.76,4.89,111.07,3,10,50,5,6,0.55,125.11,23.05,512.47,2.13,5.72,00:01:20,02:04:59,00:09:06,00:00:06,0.81,00:00:55,15059.45,561.54,4.14,0,0.0,62,9,12,41,0,0.46,0.07,0.09,0.3,0.0,0.04,0.07,0.37,0.04,0.02,02:16:03
Olivia Johnson,141,03/03/2023,02:15:34,Middle Blocker,160,580.47,4.28,286.24,2,34,74,49,1,1.18,91.97,44.27,440.76,3.46,5.86,00:02:34,02:06:25,00:06:21,00:00:11,0.71,00:01:44,38809.75,1255.61,9.26,11,0.08,95,10,10,75,0,0.7,0.07,0.07,0.55,0.0,0.36,0.25,0.55,0.01,0.01,02:16:03
Roberta Rabelo,141,03/03/2023,02:15:34,Outside Hitter,194,779.71,5.75,479.37,8,13,29,97,47,1.43,187.46,54.03,525.49,12.73,6.89,00:02:57,01:58:51,00:13:01,00:00:41,0.96,00:02:36,64993.91,1856.97,13.7,19,0.14,148,43,9,92,4,1.09,0.32,0.07,0.68,0.03,0.72,0.1,0.21,0.35,0.06,02:16:03
Shannon Shields,141,03/03/2023,02:15:34,Setter,297,804.36,5.93,508.36,12,184,62,37,2,2.19,190.83,22.56,590.16,0.82,5.28,00:01:28,01:59:45,00:14:15,00:00:03,0.99,00:00:48,68924.77,1895.43,13.98,11,0.08,51,0,7,44,0,0.38,0.0,0.05,0.32,0.0,0.27,1.36,0.46,0.01,0.09,02:16:03
